Microbe,Condition,Effect,Sample Type,Host,Method,Study Title,PubMed Link
Atopobium vaginae,Preterm birth,Elevated,Vaginal swab,Human,qPCR,High vaginal concentrations of Atopobium vaginae and Gardnerella vaginalis in women undergoing preterm labor,https://www.ncbi.nlm.nih.gov/pubmed/20027045
Gardnerella vaginalis,Preterm birth,Elevated,Vaginal swab,Human,qPCR,High vaginal concentrations of Atopobium vaginae and Gardnerella vaginalis in women undergoing preterm labor,https://www.ncbi.nlm.nih.gov/pubmed/20027045
Lachnobacterium,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Propionibacterium,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Eggerthella,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Asaccharobacter,HIV infection,Elevated,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Mycoplasma,HIV infection,Elevated,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Asaccharobacter,HIV infection,Elevated,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Propionibacterium,HIV infection,Elevated,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Citrobacter,HIV infection,Elevated,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Achromobacter,HIV infection,Elevated,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Lachnobacterium,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Mycoplasma,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Mobiluncus,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Lactobacillus crispatus,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Lactobacillus crispatus,HIV infection,Reduced,Cervicovaginal lavage,Human,16S rRNA pyrosequencing,Comparison of lower genital tract microbiota in HIV-infected and uninfected women from Rwanda and the US,https://www.ncbi.nlm.nih.gov/pubmed/24817204
Mageeibacillus indolicus,Cervicitis,Elevated,Vaginal swab,Human,16S rRNA pyrosequencing,Relationship of specific bacteria in the cervical and vaginal microbiotas with cervicitis,https://www.ncbi.nlm.nih.gov/pubmed/26267872
Mageeibacillus indolicus,Cervicitis,Elevated,Vaginal swab,Human,16S rRNA pyrosequencing,Relationship of specific bacteria in the cervical and vaginal microbiotas with cervicitis,https://www.ncbi.nlm.nih.gov/pubmed/26267872
Lactobacillus jensenii,Cervicitis,Reduced,Vaginal swab,Human,16S rRNA pyrosequencing,Relationship of specific bacteria in the cervical and vaginal microbiotas with cervicitis,https://www.ncbi.nlm.nih.gov/pubmed/26267872
Lactobacillus jensenii,Cervicitis,Reduced,Vaginal swab,Human,16S rRNA pyrosequencing,Relationship of specific bacteria in the cervical and vaginal microbiotas with cervicitis,https://www.ncbi.nlm.nih.gov/pubmed/26267872
Leptotrichia,Nongonococcal urethritis,Elevated,Urine,Human,qPCR,Bacterial vaginosis-associated bacteria in men: association of Leptotrichia/Sneathia spp. with nongonococcal urethritis.,https://www.ncbi.nlm.nih.gov/pubmed/24220356
Sneathia,Nongonococcal urethritis,Elevated,Urine,Human,qPCR,Bacterial vaginosis-associated bacteria in men: association of Leptotrichia/Sneathia spp. with nongonococcal urethritis.,https://www.ncbi.nlm.nih.gov/pubmed/24220356
Lactobacillus crispatus,Vulvar vestibulitis syndrome,Reduced,Vaginal swab,Human,16S rRNA pyrosequencing,The bacterial microbiome in paired vaginal and vestibular samples from women with vulvar vestibulitis syndrome,https://www.ncbi.nlm.nih.gov/pubmed/24961922
Gardnerella,Vulvar vestibulitis syndrome,Reduced,Vaginal swab,Human,16S rRNA pyrosequencing,The bacterial microbiome in paired vaginal and vestibular samples from women with vulvar vestibulitis syndrome,https://www.ncbi.nlm.nih.gov/pubmed/24961922
Atopobium,Vulvar vestibulitis syndrome,Reduced,Vaginal swab,Human,16S rRNA pyrosequencing,The bacterial microbiome in paired vaginal and vestibular samples from women with vulvar vestibulitis syndrome,https://www.ncbi.nlm.nih.gov/pubmed/24961922
Streptococcus,Vulvar vestibulitis syndrome,Elevated,Vaginal swab,Human,16S rRNA pyrosequencing,The bacterial microbiome in paired vaginal and vestibular samples from women with vulvar vestibulitis syndrome,https://www.ncbi.nlm.nih.gov/pubmed/24961922
Enterococcus,Vulvar vestibulitis syndrome,Elevated,Vaginal swab,Human,16S rRNA pyrosequencing,The bacterial microbiome in paired vaginal and vestibular samples from women with vulvar vestibulitis syndrome,https://www.ncbi.nlm.nih.gov/pubmed/24961922
Lactobacillus gasseri,Vulvar vestibulitis syndrome,Elevated,Vaginal swab,Human,16S rRNA pyrosequencing,The bacterial microbiome in paired vaginal and vestibular samples from women with vulvar vestibulitis syndrome,https://www.ncbi.nlm.nih.gov/pubmed/24961922
Bacteroidales,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Rhodocyclaceae,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Brevibacillus,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Armatimonadetes,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Candidatus brocadia,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Sulfuricella,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Xanthomonadaceae,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Lactobacillus,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Alcaligenaceae,Gestational diabetes,Elevated,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Thauera,Gestational diabetes,Elevated,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Geothrix,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Cyanobacteria,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Dyella,Gestational diabetes,Reduced,Placenta,Human,16S rRNA sequencing,The placental microbiota is altered among subjects with gestational diabetes mellitus: a pilot study,https://www.ncbi.nlm.nih.gov/pubmed/28932201
Enterococcus,Hyperthyroidism,Elevated,Faeces,Human,qPCR,Gut microbe analysis between hyperthyroid and healthy individuals,https://www.ncbi.nlm.nih.gov/pubmed/24969306
Bifidobacterium,Hyperthyroidism,Reduced,Faeces,Human,qPCR,Gut microbe analysis between hyperthyroid and healthy individuals,https://www.ncbi.nlm.nih.gov/pubmed/24969306
Lactobacillus,Hyperthyroidism,Reduced,Faeces,Human,qPCR,Gut microbe analysis between hyperthyroid and healthy individuals,https://www.ncbi.nlm.nih.gov/pubmed/24969306
Listeriaceae,Parkinson's Disease,Reduced,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Bacillaceae,Parkinson's Disease,Reduced,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Ruminococcaceae,Parkinson's Disease,Reduced,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Micrococcaceae,Parkinson's Disease,Reduced,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Desulfovibrionaceae,Parkinson's Disease,Reduced,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Carnobacteriaceae,Parkinson's Disease,Elevated,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Hydrogenophilaceae,Parkinson's Disease,Elevated,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Hyphomicrobiaceae,Parkinson's Disease,Elevated,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Desulfovibrionaceae,Idiopathic REM Sleep Behavior Disorder,Reduced,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Oxalobacteraceae,Idiopathic REM Sleep Behavior Disorder,Reduced,Nasal lavage,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Akkermansia,Parkinson's Disease,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Clostridium XIVb,Parkinson's Disease,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Anaerotruncus,Parkinson's Disease,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Verrucomicrobia,Parkinson's Disease,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Actinomycetales	,Parkinson's Disease,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Clostridium XIVb,Idiopathic REM Sleep Behavior Disorder,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Anaerotruncus,Idiopathic REM Sleep Behavior Disorder,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Erysipelotrichaceae incertae sedis,Idiopathic REM Sleep Behavior Disorder,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Flavonifractor,Idiopathic REM Sleep Behavior Disorder,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Eggerthella,Idiopathic REM Sleep Behavior Disorder,Elevated,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Mitsuokella,Idiopathic REM Sleep Behavior Disorder,Reduced,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Megasphaera,Idiopathic REM Sleep Behavior Disorder,Reduced,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Methanosphaera,Idiopathic REM Sleep Behavior Disorder,Reduced,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Catenibacterium,Idiopathic REM Sleep Behavior Disorder,Reduced,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Prevotella,Idiopathic REM Sleep Behavior Disorder,Reduced,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Pasteurellales,Idiopathic REM Sleep Behavior Disorder,Reduced,Faeces,Human,16S rRNA sequencing,The nasal and gut microbiome in Parkinson's Disease and Idiopathic Rapid Eye Movement Sleep Behavior Disorder,https://www.ncbi.nlm.nih.gov/pubmed/28843021
Haemophilus,Colorectal cancer,Reduced,Oral swab,Human,16S rRNA sequencing,The oral microbiota in colorectal cancer is distinctive and predictive,https://www.ncbi.nlm.nih.gov/pubmed/28988196
Parvimonas,Colorectal cancer,Reduced,Oral swab,Human,16S rRNA sequencing,The oral microbiota in colorectal cancer is distinctive and predictive,https://www.ncbi.nlm.nih.gov/pubmed/28988196
Alloprevotella,Colorectal cancer,Reduced,Oral swab,Human,16S rRNA sequencing,The oral microbiota in colorectal cancer is distinctive and predictive,https://www.ncbi.nlm.nih.gov/pubmed/28988196
Lachnoanaerobaculum,Colorectal cancer,Reduced,Oral swab,Human,16S rRNA sequencing,The oral microbiota in colorectal cancer is distinctive and predictive,https://www.ncbi.nlm.nih.gov/pubmed/28988196
Neisseria,Colorectal cancer,Reduced,Oral swab,Human,16S rRNA sequencing,The oral microbiota in colorectal cancer is distinctive and predictive,https://www.ncbi.nlm.nih.gov/pubmed/28988196
Streptococcus,Colorectal cancer,Reduced,Oral swab,Human,16S rRNA sequencing,The oral microbiota in colorectal cancer is distinctive and predictive,https://www.ncbi.nlm.nih.gov/pubmed/28988196
Prevotella,Colorectal cancer,Elevated,Oral swab,Human,16S rRNA sequencing,The oral microbiota in colorectal cancer is distinctive and predictive,https://www.ncbi.nlm.nih.gov/pubmed/28988196
Bacteroidaceae,Ulcerative Colitis,Reduced,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Akkermansiaceae,Ulcerative Colitis,Reduced,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Clostridiaceae,Ulcerative Colitis,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Peptostreptococcaceae,Ulcerative Colitis,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Enterobacteriaceae,Ulcerative Colitis,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Ruminococcaceae,Ulcerative Colitis,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Bifidobacteriaceae,Ulcerative Colitis,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Actinomycetaceae,Ulcerative Colitis,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Spatial variation of the colonic microbiota in patients with ulcerative colitis and control volunteers,https://www.ncbi.nlm.nih.gov/pubmed/25596182
Shigella,Crohn's Disease,Elevated,Faeces,Human,16S rRNA sequencing,Dominant fecal microbiota in newly diagnosed untreated inflammatory bowel disease patients,https://www.ncbi.nlm.nih.gov/pubmed/24348539
Faecalibacterium,Crohn's Disease,Reduced,Faeces,Human,16S rRNA sequencing,Dominant fecal microbiota in newly diagnosed untreated inflammatory bowel disease patients,https://www.ncbi.nlm.nih.gov/pubmed/24348539
Faecalibacterium,Crohn's Disease,Reduced,Faeces,Human,16S rRNA sequencing,Dominant fecal microbiota in newly diagnosed untreated inflammatory bowel disease patients,https://www.ncbi.nlm.nih.gov/pubmed/24348539
Eubacterium rectale,Ulcerative Colitis,Reduced,Faeces,Human,Metagenomic sequencing,Gut microbiota differs between children with inflammatory bowel disease and healthy siblings in taxonomic and functional composition: a metagenomic analysis,https://www.ncbi.nlm.nih.gov/pubmed/28039159
Faecalibacterium prausnitzii,Ulcerative Colitis,Reduced,Faeces,Human,Metagenomic sequencing,Gut microbiota differs between children with inflammatory bowel disease and healthy siblings in taxonomic and functional composition: a metagenomic analysis,https://www.ncbi.nlm.nih.gov/pubmed/28039159
Bilophila wadsworthia,Ulcerative Colitis,Reduced,Faeces,Human,Metagenomic sequencing,Gut microbiota differs between children with inflammatory bowel disease and healthy siblings in taxonomic and functional composition: a metagenomic analysis,https://www.ncbi.nlm.nih.gov/pubmed/28039159
Clostridium ramosum,Ulcerative Colitis,Elevated,Faeces,Human,Metagenomic sequencing,Gut microbiota differs between children with inflammatory bowel disease and healthy siblings in taxonomic and functional composition: a metagenomic analysis,https://www.ncbi.nlm.nih.gov/pubmed/28039159
Escherichia coli,Ulcerative Colitis,Elevated,Faeces,Human,Metagenomic sequencing,Gut microbiota differs between children with inflammatory bowel disease and healthy siblings in taxonomic and functional composition: a metagenomic analysis,https://www.ncbi.nlm.nih.gov/pubmed/28039159
Ruminococcus gnavus,Ulcerative Colitis,Elevated,Faeces,Human,Metagenomic sequencing,Gut microbiota differs between children with inflammatory bowel disease and healthy siblings in taxonomic and functional composition: a metagenomic analysis,https://www.ncbi.nlm.nih.gov/pubmed/28039159
Fusobacterium nucleatum,Ulcerative Colitis,Elevated,Faeces,Human,Metagenomic sequencing,Gut microbiota differs between children with inflammatory bowel disease and healthy siblings in taxonomic and functional composition: a metagenomic analysis,https://www.ncbi.nlm.nih.gov/pubmed/28039159
Ammoniphilus,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Enterobacter,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Erwinia,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Klebsiella,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Lactobacillus,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Megasphaera,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Parvimonas,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Shuttleworthia,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Sneathia,T2D with hypertension,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Aeromonas,T2D with hypertension,Elevated,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Roseburia,T2D with hypertension,Elevated,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Ruminococcus,T2D with hypertension,Elevated,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Faecalibacterium,T2D with hyperlipidemia,Elevated,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Oscillospira,T2D with hyperlipidemia,Elevated,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Collinsella,T2D with hyperlipidemia,Elevated,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Shuttleworthia,T2D with hypertension and hyperlipidemia,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Acinetobacter,T2D with hypertension and hyperlipidemia,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Gemella,T2D with hypertension and hyperlipidemia,Reduced,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Prevotella,T2D with hypertension and hyperlipidemia,Elevated,Urine,Human,16S rRNA sequencing,Alterations of urinary microbiota in type 2 Diabetes Mellitus with hypertension and/or hyperlipidemia,https://www.ncbi.nlm.nih.gov/pubmed/28316574
Blautia,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
Dorea,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
Lachnospira,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
Anaerostipes,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
Fusicatenibacter,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
Roseburia,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
Pseudobutyrivibrio,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
Flavonifractor,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Fecal microbiota signatures of adult patients with different types of short bowel syndrome,https://www.ncbi.nlm.nih.gov/pubmed/28425133
